,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
75,0.582756302,0.01,"[12, 12]",relu,random_hill_climb,0.583905336
76,0.739979475,0.01,"[6, 6]",relu,random_hill_climb,0.738462018
77,0.743368161,0.01,"[24, 24]",relu,random_hill_climb,0.743083781
78,0.413206051,0.01,"[12, 12, 12]",relu,random_hill_climb,0.41233288
79,0.212802874,0.01,"[6, 6, 6]",relu,random_hill_climb,0.212804455
80,0.212802822,0.01,"[24, 24, 24]",relu,random_hill_climb,0.212803623
81,0.328647142,0.003162278,[12],relu,random_hill_climb,0.328710739
82,0.305075001,0.003162278,[6],relu,random_hill_climb,0.305075456
83,0.381776236,0.003162278,[24],relu,random_hill_climb,0.381774933
84,0.547937905,0.003162278,"[12, 12]",relu,random_hill_climb,0.546996935
85,0.71071177,0.003162278,"[6, 6]",relu,random_hill_climb,0.710776767
86,0.735726885,0.003162278,"[24, 24]",relu,random_hill_climb,0.73558558
87,0.381559526,0.003162278,"[12, 12, 12]",relu,random_hill_climb,0.381191911
88,0.212802874,0.003162278,"[6, 6, 6]",relu,random_hill_climb,0.212804455
89,0.212802822,0.003162278,"[24, 24, 24]",relu,random_hill_climb,0.212803623
90,0.31437365,0.001,[12],relu,random_hill_climb,0.314291536
91,0.300677722,0.001,[6],relu,random_hill_climb,0.300751026
92,0.376802146,0.001,[24],relu,random_hill_climb,0.376874135
93,0.53243911,0.001,"[12, 12]",relu,random_hill_climb,0.53229038
94,0.701268328,0.001,"[6, 6]",relu,random_hill_climb,0.701262106
95,0.735510643,0.001,"[24, 24]",relu,random_hill_climb,0.735586412
96,0.372476341,0.001,"[12, 12, 12]",relu,random_hill_climb,0.372539308
97,0.212802874,0.001,"[6, 6, 6]",relu,random_hill_climb,0.212804455
98,0.212802822,0.001,"[24, 24, 24]",relu,random_hill_climb,0.212803623
99,0.309904246,0.000316228,[12],relu,random_hill_climb,0.309967106
100,0.2990197,0.000316228,[6],relu,random_hill_climb,0.299021088
101,0.376297538,0.000316228,[24],relu,random_hill_climb,0.376296934
102,0.528546386,0.000316228,"[12, 12]",relu,random_hill_climb,0.528541487
103,0.698961502,0.000316228,"[6, 6]",relu,random_hill_climb,0.698954968
104,0.73507808,0.000316228,"[24, 24]",relu,random_hill_climb,0.735009211
105,0.368439473,0.000316228,"[12, 12, 12]",relu,random_hill_climb,0.368503063
106,0.212802874,0.000316228,"[6, 6, 6]",relu,random_hill_climb,0.212804455
