,mean_train_score,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__activation,algorithm,mean_test_score
270,0.8016877699617424,100.0,[12],relu,simulated_annealing,0.7900790531914451
271,0.7440217982943289,100.0,[6],relu,simulated_annealing,0.7338431661198233
272,0.806660613028313,100.0,[24],relu,simulated_annealing,0.7912376128514458
273,0.2638419039082341,100.0,"[12, 12]",relu,simulated_annealing,0.2551808742010471
274,0.5654597062816241,100.0,"[6, 6]",relu,simulated_annealing,0.5591052559352272
275,0.8181933656800275,100.0,"[24, 24]",relu,simulated_annealing,0.8033475970075393
276,0.6748097455783109,100.0,"[12, 12, 12]",relu,simulated_annealing,0.6707224571777887
277,0.3203637379268237,100.0,"[6, 6, 6]",relu,simulated_annealing,0.3064955857463062
278,0.7941899361510032,100.0,"[24, 24, 24]",relu,simulated_annealing,0.7863339030486005
279,0.7888546802029138,31.622776601683793,[12],relu,simulated_annealing,0.7710434938100643
280,0.7182090583734418,31.622776601683793,[6],relu,simulated_annealing,0.7107830050193162
281,0.8027667465591042,31.622776601683793,[24],relu,simulated_annealing,0.7926814459955671
282,0.6149311041394675,31.622776601683793,"[12, 12]",relu,simulated_annealing,0.5933322521218776
283,0.3685142994472483,31.622776601683793,"[6, 6]",relu,simulated_annealing,0.37022842671257655
284,0.8154570172190937,31.622776601683793,"[24, 24]",relu,simulated_annealing,0.7984463823080536
285,0.5286152367219419,31.622776601683793,"[12, 12, 12]",relu,simulated_annealing,0.505777827679845
286,0.3618799275122274,31.622776601683793,"[6, 6, 6]",relu,simulated_annealing,0.3503357993271538
287,0.7903699084809395,31.622776601683793,"[24, 24, 24]",relu,simulated_annealing,0.7877798154455216
288,0.7767427268652936,10.0,[12],relu,simulated_annealing,0.7681687188891798
289,0.7155439505836044,10.0,[6],relu,simulated_annealing,0.7099184517051953
290,0.8016864189351571,10.0,[24],relu,simulated_annealing,0.7846027171675587
291,0.606552556882766,10.0,"[12, 12]",relu,simulated_annealing,0.6008907518993973
292,0.46531966717979695,10.0,"[6, 6]",relu,simulated_annealing,0.457928814701149
293,0.8143750267931955,10.0,"[24, 24]",relu,simulated_annealing,0.7935435042063285
294,0.7506480640698376,10.0,"[12, 12, 12]",relu,simulated_annealing,0.7445238719013935
295,0.44916222062004324,10.0,"[6, 6, 6]",relu,simulated_annealing,0.43748851212828166
296,0.8071651694953786,10.0,"[24, 24, 24]",relu,simulated_annealing,0.7860448869094402
297,0.7609555135524855,3.1622776601683795,[12],relu,simulated_annealing,0.7502962935239591
298,0.7373823080470522,3.1622776601683795,[6],relu,simulated_annealing,0.7263620145464527
299,0.7724195197360302,3.1622776601683795,[24],relu,simulated_annealing,0.7560570713308465
300,0.6361715803763388,3.1622776601683795,"[12, 12]",relu,simulated_annealing,0.6066964415667586
301,0.5855641510291835,3.1622776601683795,"[6, 6]",relu,simulated_annealing,0.5752726940046825
302,0.7750862903278188,3.1622776601683795,"[24, 24]",relu,simulated_annealing,0.7566367670114068
303,0.6975189695824158,3.1622776601683795,"[12, 12, 12]",relu,simulated_annealing,0.6712846871348311
304,0.42978961658125325,3.1622776601683795,"[6, 6, 6]",relu,simulated_annealing,0.4258763010924394
305,0.7680934286846328,3.1622776601683795,"[24, 24, 24]",relu,simulated_annealing,0.7511512822752016
306,0.7891434361542509,1.0,[12],relu,simulated_annealing,0.7854606168727207
307,0.7676599310197003,1.0,[6],relu,simulated_annealing,0.7563510776767262
308,0.7865493871665465,1.0,[24],relu,simulated_annealing,0.7785512598192714
309,0.767948401176952,1.0,"[12, 12]",relu,simulated_annealing,0.7583654577890889
310,0.7690316387043136,1.0,"[6, 6]",relu,simulated_annealing,0.7644227370452155
311,0.7780417129458226,1.0,"[24, 24]",relu,simulated_annealing,0.7707619629809831
312,0.7682363257273135,1.0,"[12, 12, 12]",relu,simulated_annealing,0.7554906828682044
313,0.7395495105776289,1.0,"[6, 6, 6]",relu,simulated_annealing,0.7298114949411779
314,0.7631199101047695,1.0,"[24, 24, 24]",relu,simulated_annealing,0.7488362422080002
315,0.8001006774618886,0.31622776601683794,[12],relu,simulated_annealing,0.7987295765393747
316,0.7898649363133862,0.31622776601683794,[6],relu,simulated_annealing,0.7791259652931123
317,0.8135819482063174,0.31622776601683794,[24],relu,simulated_annealing,0.8013303059412568
318,0.7851784589203479,0.31622776601683794,"[12, 12]",relu,simulated_annealing,0.7799942612622728
319,0.7861884292367349,0.31622776601683794,"[6, 6]",relu,simulated_annealing,0.7851819969975589
320,0.7954152912826309,0.31622776601683794,"[24, 24]",relu,simulated_annealing,0.785181581146999
321,0.7859704462934456,0.31622776601683794,"[12, 12, 12]",relu,simulated_annealing,0.7912396921042455
322,0.7873419461278149,0.31622776601683794,"[6, 6, 6]",relu,simulated_annealing,0.7840317543487573
323,0.7261396883545406,0.31622776601683794,"[24, 24, 24]",relu,simulated_annealing,0.7211767739145262
324,0.6908158511792254,0.1,[12],relu,simulated_annealing,0.6877220122176896
325,0.6911047889995259,0.1,[6],relu,simulated_annealing,0.6897372240311721
326,0.588812044921634,0.1,[24],relu,simulated_annealing,0.5873647965866986
327,0.7595157349129952,0.1,"[12, 12]",relu,simulated_annealing,0.75952027479405
328,0.7874136284806796,0.1,"[6, 6]",relu,simulated_annealing,0.7892194900840435
329,0.7655707762557078,0.1,"[24, 24]",relu,simulated_annealing,0.7626803231990552
330,0.7288795702696207,0.1,"[12, 12, 12]",relu,simulated_annealing,0.7254924710256122
331,0.5480142117604265,0.1,"[6, 6, 6]",relu,simulated_annealing,0.54120704783529
332,0.23680825165468283,0.1,"[24, 24, 24]",relu,simulated_annealing,0.23731343904254568
333,0.3855242697636353,0.03162277660168379,[12],relu,simulated_annealing,0.38408248811707024
334,0.3288632020629137,0.03162277660168379,[6],relu,simulated_annealing,0.3275571690557281
